total_pop,family_12_17_estimate_sum,median_income,college_associate_degree_est,bachelors_degree_est,normalised_pop,normalised_income,heavily_asian,highest_price_premier
27585,1671,67914,0.377,0.195,0.24035285,0.264300895,FALSE,TRUE
718,79,97212,0.55,0.275,0.00616267,0.382675696,FALSE,TRUE
13005,1354,146083,0.504,0.213,0.113264123,0.580132686,FALSE,TRUE
2338,71,98375,0.654,0.047,0.02028364,0.387374647,TRUE,TRUE
13606,962,77462,0.254,0.121,0.118502829,0.302878361,FALSE,FALSE
4710,346,41659,0.544,0.058,0.040959529,0.158220944,FALSE,FALSE
742,59,40938,0.897,0.103,0.00637187,0.155307836,FALSE,FALSE
240,9,74219,0.352,0,0.001996112,0.289775436,FALSE,FALSE
146,0,25815,0,0,0.001176747,0.094205299,FALSE,FALSE
20512,912,46754,0.534,0.042,0.178699999,0.178806636,FALSE,FALSE
897,109,39764,0.579,0,0.00772295,0.15056444,FALSE,FALSE
31072,2376,51799,0.443,0.043,0.270747801,0.19919031,FALSE,FALSE
21788,1366,45600,0.376,0.029,0.189822442,0.174144047,FALSE,FALSE
11576,398,61069,0.395,0.282,0.100808033,0.236644552,FALSE,FALSE
6226,219,62992,0.645,0.155,0.054173967,0.244414187,FALSE,FALSE
24446,1725,59519,0.213,0.074,0.212991292,0.230381977,FALSE,FALSE
8345,356,53023,0.235,0.121,0.072644544,0.204135724,FALSE,FALSE
200,8,44783,0,0,0.001647446,0.170843064,FALSE,FALSE
642,90,51700,0.775,0,0.005500205,0.198790313,FALSE,FALSE
17940,1418,40516,0.452,0.065,0.156280781,0.153602799,FALSE,FALSE
2729,185,30118,0.353,0.045,0.023691849,0.111591017,FALSE,FALSE
1041,62,35972,0.651,0,0.008978147,0.135243352,FALSE,FALSE
18013,1754,28797,0.488,0.038,0.156917096,0.106253687,FALSE,FALSE
580,22,40284,0,0,0.004959773,0.152665433,FALSE,FALSE
14841,1114,90897,0.441,0.159,0.129267889,0.35716075,FALSE,FALSE
7608,813,80126,0.198,0.435,0.066220374,0.31364191,FALSE,FALSE
16001,846,47757,0.369,0.084,0.1393792,0.182859128,FALSE,FALSE
2804,293,61164,0.514,0.193,0.024345598,0.237028388,FALSE,FALSE
1538,118,19531,0.173,0,0.013310321,0.068815606,FALSE,FALSE
640,15,61706,0,0,0.005482772,0.239218269,FALSE,FALSE
28802,1973,44256,0.386,0.059,0.25096101,0.168713788,FALSE,FALSE
65200,4475,77058,0.499,0.143,0.568229562,0.301246051,TRUE,FALSE
445,18,32188,0.436,0.109,0.003783025,0.119954586,FALSE,FALSE
302,12,43750,0,0,0.002536545,0.16666936,FALSE,FALSE
1003,104,44032,0.354,0,0.008646915,0.167808745,FALSE,FALSE
2159,135,49559,0.531,0.055,0.01872336,0.190139878,FALSE,FALSE
91,0,57969,0,0,0.000697332,0.224119401,FALSE,FALSE
2357,222,47772,0.543,0.022,0.020449256,0.182919734,FALSE,FALSE
286,22,45833,0.538,0.077,0.002397078,0.175085454,FALSE,FALSE
1222,97,43182,0.241,0.165,0.010555861,0.164374429,FALSE,FALSE
28878,1780,48837,0.724,0.064,0.251623476,0.18722273,FALSE,FALSE
13267,1465,86412,0.563,0.108,0.115547885,0.339039685,FALSE,FALSE
9303,835,92098,0.22,0.423,0.080995093,0.362013236,FALSE,FALSE
21809,1364,95815,0.598,0.159,0.190005491,0.377031297,FALSE,FALSE
20437,1477,44640,0.504,0.051,0.178046251,0.170265291,FALSE,FALSE
56217,4856,82449,0.484,0.208,0.489927913,0.323027693,FALSE,FALSE
20390,1513,57116,0.302,0.177,0.177636568,0.220672964,FALSE,FALSE
61167,4890,43767,0.346,0.085,0.533075321,0.166738047,FALSE,FALSE
10479,696,94897,0.444,0.299,0.09124587,0.373322236,FALSE,FALSE
8555,791,125960,0.26,0.459,0.07447504,0.498828292,FALSE,FALSE
39924,2954,47358,0.433,0.077,0.347907569,0.18124702,FALSE,FALSE
30516,1601,67091,0.538,0.13,0.265901345,0.260975669,FALSE,FALSE
4404,329,48693,0.238,0.015,0.038292234,0.186640916,FALSE,FALSE
3503,296,49911,0.446,0.016,0.030438535,0.191562088,FALSE,FALSE
696,100,66563,0.349,0.186,0.005970904,0.258842353,FALSE,FALSE
5606,484,79556,0.296,0.08,0.048769645,0.311338898,FALSE,FALSE
5481,419,51368,0.347,0.033,0.047680064,0.19744891,FALSE,FALSE
9827,888,93535,0.344,0.03,0.085562616,0.36781925,FALSE,FALSE
2107,215,68313,0.291,0,0.018270094,0.265913003,FALSE,FALSE
398,23,54063,0.667,0,0.003373343,0.20833771,FALSE,FALSE
17603,1064,41001,0.349,0.075,0.15334327,0.155562379,FALSE,FALSE
338,43,45114,1,0,0.002850344,0.172180427,FALSE,FALSE
18610,1085,40360,0.505,0.113,0.162120935,0.152972501,FALSE,FALSE
20627,1287,58920,0.447,0.268,0.179702414,0.227961794,FALSE,FALSE
26591,2681,144250,0.392,0.13,0.231688502,0.572726685,TRUE,FALSE
450,11,73875,0,0,0.003826608,0.288385548,FALSE,FALSE
27479,2143,68917,0.457,0.16,0.239428885,0.268353387,FALSE,FALSE
9028,652,51179,0.668,0.042,0.078598014,0.196685279,FALSE,FALSE
31724,2489,127974,0.46,0.133,0.276431056,0.5069656,TRUE,FALSE
674,49,63482,0.435,0,0.005779138,0.246393969,FALSE,FALSE
426,37,53194,0.238,0.286,0.003617409,0.204826628,FALSE,FALSE
7924,424,48484,0.623,0.11,0.068974835,0.185796478,FALSE,FALSE
7857,432,33143,0.314,0.048,0.06839082,0.123813141,FALSE,FALSE
4149,503,120991,0.561,0.179,0.036069489,0.478751687,FALSE,FALSE
37643,3019,48382,0.472,0.044,0.328024895,0.185384361,FALSE,FALSE
1666,152,52546,0.208,0.083,0.014426052,0.202208467,FALSE,FALSE
3997,305,60799,0.573,0.05,0.034744559,0.235553652,FALSE,FALSE
15196,1171,55705,0.476,0.17,0.132362299,0.214972,FALSE,FALSE
1388,211,45833,0.184,0,0.012002824,0.175085454,FALSE,FALSE
3442,333,60128,0.268,0.067,0.029906819,0.232842563,FALSE,FALSE
3465,261,82378,0.698,0,0.030107302,0.322740826,FALSE,FALSE
3980,333,82877,0.557,0.12,0.034596376,0.324756972,FALSE,FALSE
2853,173,42592,0.157,0.067,0.024772713,0.16199061,FALSE,FALSE
987,41,46719,0.548,0,0.008507448,0.178665223,FALSE,FALSE
2876,182,40109,0.355,0.044,0.024973196,0.151958368,FALSE,FALSE
61311,3634,56656,0.426,0.084,0.534330518,0.218814393,TRUE,FALSE
12385,426,84817,0.602,0.108,0.107859801,0.332595292,TRUE,FALSE
369,39,39821,0.625,0,0.00312056,0.150794741,FALSE,FALSE
7114,623,49073,0.492,0.036,0.06191435,0.188176257,FALSE,FALSE
24454,1786,97269,0.6,0.079,0.213061025,0.382905997,TRUE,FALSE
42650,3244,73099,0.471,0.065,0.371669151,0.28525022,TRUE,FALSE
172,22,41023,0.571,0,0.00140338,0.155651267,FALSE,FALSE
1601,139,44698,0.547,0.227,0.01385947,0.170499632,FALSE,FALSE
2239,204,43281,0.329,0,0.019420692,0.164774426,FALSE,FALSE
1563,132,29890,0.18,0,0.013528238,0.110669813,FALSE,FALSE
325,21,56429,0.727,0,0.002737027,0.217897229,FALSE,FALSE
2830,247,44883,0.297,0,0.024572231,0.171247101,FALSE,FALSE
2927,212,41891,0.249,0.08,0.025417745,0.15915831,FALSE,FALSE
1510,100,51607,0.475,0,0.013066255,0.198414558,FALSE,FALSE
14675,1056,43161,0.435,0.148,0.127820925,0.164289581,FALSE,FALSE
13352,840,24898,0.323,0.026,0.1162888,0.090500279,FALSE,FALSE
2893,356,47992,0.366,0.006,0.025121379,0.183808616,FALSE,FALSE
15368,1142,44234,0.382,0.091,0.133861562,0.1686249,FALSE,FALSE
2551,160,49432,0.717,0.028,0.022140286,0.18962675,FALSE,FALSE
2873,112,44082,0.044,0.099,0.024947046,0.168010764,FALSE,FALSE
13297,784,46187,0.555,0.051,0.115809384,0.176515745,FALSE,FALSE
20456,719,50789,0.747,0.066,0.178211867,0.195109534,FALSE,FALSE
8153,150,62755,0.428,0.357,0.070970947,0.243456619,FALSE,FALSE
30613,1610,42102,0.468,0.075,0.26674686,0.160010828,FALSE,FALSE
23272,1425,26361,0.644,0.023,0.202757947,0.096411342,FALSE,FALSE
